La ciudad es ___ (big),grande,grandes,grande,grande
El chico es ___ (interesting),interesante,interesantes,interesante,interesante
La casa es ___ (old),vieja,viejas,viejo,viejos
El libro es ___ (fun),divertido,divertida,divertidas,divertidos
La mesa es ___ (kind),amable,amables,amable,amable
El sol es ___ (modern),moderno,modernos,modernas,moderna
Los árboles es ___ (beautiful),bonitos,bonito,bonitoas,bonitoa
La casa es ___ (big),grande,grandes,grande,grande
Las flores es ___ (kind),amables,amable,amabless,amableos
El sol es ___ (new),nuevo,nuevas,nueva,nuevos
El parque es ___ (new),nuevo,nuevas,nueva,nuevos
La niña es ___ (hot),caliente,caliente,calientes,caliente
La playa es ___ (new),nueva,nuevas,nuevo,nuevos
La ciudad es ___ (clear),clara,claros,claro,claras
El libro es ___ (fun),divertido,divertida,divertidas,divertidos
La luna es ___ (weak),débil,débils,débil,débil
Las calles es ___ (sick),enfermas,enferma,enfermaos,enfermao
El libro es ___ (boring),aburrido,aburridas,aburridos,aburrida
El chico es ___ (salty),salado,saladas,salada,salados
Los amigos es ___ (cold),fríos,frío,fríoas,fríoa
Los amigos es ___ (strong),fuertes,fuerteas,fuerte,fuertess
Los coches es ___ (interesting),interesantes,interesantess,interesanteas,interesante
Los gatos es ___ (beautiful),bonitos,bonito,bonitoas,bonitoa
El sol es ___ (salty),salado,saladas,salada,salados
Las flores es ___ (new),nuevas,nuevaos,nuevao,nueva
El coche es ___ (sweet),dulce,dulces,dulce,dulce
Los amigos es ___ (safe),seguros,seguro,seguroa,seguroas
La casa es ___ (big),grande,grandes,grande,grande
Las montañas es ___ (fun),divertidas,divertidao,divertida,divertidaos
El edificio es ___ (fun),divertido,divertida,divertidas,divertidos
Las montañas es ___ (heavy),pesadas,pesadao,pesadaos,pesada
El chico es ___ (dark),oscuro,oscuras,oscuros,oscura
El libro es ___ (heavy),pesado,pesadas,pesada,pesados
El edificio es ___ (boring),aburrido,aburridas,aburridos,aburrida
La niña es ___ (clear),clara,claros,claro,claras
El parque es ___ (sad),triste,triste,tristes,triste
La casa es ___ (kind),amable,amables,amable,amable
El sol es ___ (boring),aburrido,aburridas,aburridos,aburrida
Los coches es ___ (kind),amables,amableas,amable,amabless
Las flores es ___ (heavy),pesadas,pesadao,pesadaos,pesada
La niña es ___ (sick),enferma,enfermos,enfermas,enfermo
El libro es ___ (sad),triste,triste,tristes,triste
Las montañas es ___ (small),pequeñas,pequeñao,pequeñaos,pequeña
El libro es ___ (new),nuevo,nuevas,nueva,nuevos
Los amigos es ___ (sweet),dulces,dulcess,dulceas,dulce
El coche es ___ (healthy),sano,sanos,sana,sanas
El edificio es ___ (cold),frío,frías,fríos,fría
La luna es ___ (small),pequeña,pequeño,pequeñas,pequeños
La niña es ___ (happy),feliz,feliz,felizs,feliz
Las flores es ___ (healthy),sanas,sanaos,sana,sanao
La mesa es ___ (light),ligera,ligeras,ligeros,ligero
El sol es ___ (strong),fuerte,fuerte,fuertes,fuerte
La mesa es ___ (fast),rápida,rápido,rápidas,rápidos
Los amigos es ___ (sweet),dulces,dulcess,dulceas,dulce
Los coches es ___ (small),pequeños,pequeñoas,pequeño,pequeñoa
El chico es ___ (beautiful),bonito,bonita,bonitos,bonitas
La niña es ___ (beautiful),bonita,bonito,bonitos,bonitas
La playa es ___ (hot),caliente,caliente,calientes,caliente
La mesa es ___ (strong),fuerte,fuerte,fuertes,fuerte
El perro es ___ (small),pequeño,pequeñas,pequeña,pequeños
Las montañas es ___ (new),nuevas,nuevaos,nuevao,nueva
El perro es ___ (boring),aburrido,aburridas,aburridos,aburrida
El chico es ___ (healthy),sano,sanos,sana,sanas
Los coches es ___ (modern),modernos,modernoa,modernoas,moderno
El libro es ___ (strong),fuerte,fuerte,fuertes,fuerte
Las calles es ___ (sad),tristes,triste,tristeos,tristess
El coche es ___ (heavy),pesado,pesadas,pesada,pesados
Las montañas es ___ (heavy),pesadas,pesadao,pesadaos,pesada
Las montañas es ___ (light),ligeras,ligeraos,ligerao,ligera
Los gatos es ___ (light),ligeros,ligeroas,ligeroa,ligero
La mesa es ___ (sad),triste,triste,tristes,triste
El sol es ___ (beautiful),bonito,bonita,bonitos,bonitas
El coche es ___ (strong),fuerte,fuerte,fuertes,fuerte
El perro es ___ (boring),aburrido,aburridas,aburridos,aburrida
El perro es ___ (modern),moderno,modernos,modernas,moderna
El chico es ___ (clear),claro,clara,claros,claras
El edificio es ___ (beautiful),bonito,bonita,bonitos,bonitas
El perro es ___ (weak),débil,débils,débil,débil
Los coches es ___ (strong),fuertes,fuerteas,fuerte,fuertess
Las flores es ___ (kind),amables,amable,amabless,amableos
La luna es ___ (clear),clara,claros,claro,claras
La luna es ___ (happy),feliz,feliz,felizs,feliz
El libro es ___ (sweet),dulce,dulces,dulce,dulce
La playa es ___ (interesting),interesante,interesantes,interesante,interesante
La casa es ___ (heavy),pesada,pesadas,pesado,pesados
La ciudad es ___ (sick),enferma,enfermos,enfermas,enfermo
La luna es ___ (weak),débil,débils,débil,débil
Las calles es ___ (strong),fuertes,fuerteos,fuerte,fuertess
El chico es ___ (clear),claro,clara,claros,claras
El coche es ___ (fast),rápido,rápidas,rápida,rápidos
El parque es ___ (salty),salado,saladas,salada,salados
El edificio es ___ (beautiful),bonito,bonita,bonitos,bonitas
La casa es ___ (ancient),antigua,antiguas,antiguo,antiguos
Los amigos es ___ (weak),débils,débilss,débilas,débil
El coche es ___ (clear),claro,clara,claros,claras
El perro es ___ (safe),seguro,segura,seguros,seguras
El libro es ___ (big),grande,grandes,grande,grande
La luna es ___ (small),pequeña,pequeño,pequeñas,pequeños
Los coches es ___ (small),pequeños,pequeñoas,pequeño,pequeñoa
La casa es ___ (new),nueva,nuevas,nuevo,nuevos
El sol es ___ (kind),amable,amables,amable,amable
Los árboles es ___ (healthy),sanos,sanoa,sanoas,sano
Los árboles es ___ (clear),claros,claroa,claro,claroas
El chico es ___ (clear),claro,clara,claros,claras
Las calles es ___ (new),nuevas,nuevaos,nuevao,nueva
La luna es ___ (strong),fuerte,fuerte,fuertes,fuerte
El parque es ___ (interesting),interesante,interesantes,interesante,interesante
El edificio es ___ (safe),seguro,segura,seguros,seguras
El libro es ___ (small),pequeño,pequeñas,pequeña,pequeños
El perro es ___ (bright),luminoso,luminosas,luminosos,luminosa
El perro es ___ (fun),divertido,divertida,divertidas,divertidos
Los coches es ___ (sick),enfermos,enfermoa,enfermoas,enfermo
Las flores es ___ (sweet),dulces,dulcess,dulce,dulceos
El libro es ___ (beautiful),bonito,bonita,bonitos,bonitas
El coche es ___ (cold),frío,frías,fríos,fría
Las flores es ___ (heavy),pesadas,pesadao,pesadaos,pesada
El sol es ___ (beautiful),bonito,bonita,bonitos,bonitas
El coche es ___ (sick),enfermo,enferma,enfermos,enfermas
La ciudad es ___ (salty),salada,salados,saladas,salado
El parque es ___ (dark),oscuro,oscuras,oscuros,oscura
El coche es ___ (fast),rápido,rápidas,rápida,rápidos
Los coches es ___ (fun),divertidos,divertidoa,divertidoas,divertido
Las calles es ___ (new),nuevas,nuevaos,nuevao,nueva
El edificio es ___ (fast),rápido,rápidas,rápida,rápidos
Los coches es ___ (small),pequeños,pequeñoas,pequeño,pequeñoa
La playa es ___ (salty),salada,salados,saladas,salado
La mesa es ___ (clear),clara,claros,claro,claras
El sol es ___ (heavy),pesado,pesadas,pesada,pesados
Los árboles es ___ (happy),felizs,feliz,felizas,felizss
Las montañas es ___ (small),pequeñas,pequeñao,pequeñaos,pequeña
La casa es ___ (dark),oscura,oscuro,oscuras,oscuros
El libro es ___ (cold),frío,frías,fríos,fría
El libro es ___ (clear),claro,clara,claros,claras
La niña es ___ (kind),amable,amables,amable,amable
El sol es ___ (healthy),sano,sanos,sana,sanas
La mesa es ___ (salty),salada,salados,saladas,salado
El sol es ___ (fun),divertido,divertida,divertidas,divertidos
La ciudad es ___ (cold),fría,frías,frío,fríos
La luna es ___ (beautiful),bonita,bonito,bonitos,bonitas
La niña es ___ (old),vieja,viejas,viejo,viejos
El libro es ___ (modern),moderno,modernos,modernas,moderna
La niña es ___ (fun),divertida,divertido,divertidas,divertidos
El chico es ___ (kind),amable,amables,amable,amable
La playa es ___ (happy),feliz,feliz,felizs,feliz
La mesa es ___ (heavy),pesada,pesadas,pesado,pesados
La mesa es ___ (dark),oscura,oscuro,oscuras,oscuros
El chico es ___ (healthy),sano,sanos,sana,sanas
La playa es ___ (safe),segura,seguro,seguros,seguras
La casa es ___ (happy),feliz,feliz,felizs,feliz
Los coches es ___ (heavy),pesados,pesadoas,pesado,pesadoa
La luna es ___ (healthy),sana,sanos,sanas,sano
El parque es ___ (dangerous),peligroso,peligrosa,peligrosos,peligrosas
La playa es ___ (hot),caliente,caliente,calientes,caliente
Las montañas es ___ (hot),calientes,caliente,calientess,calienteos
La luna es ___ (light),ligera,ligeras,ligeros,ligero
El edificio es ___ (cold),frío,frías,fríos,fría
El sol es ___ (happy),feliz,feliz,felizs,feliz
La mesa es ___ (salty),salada,salados,saladas,salado
La playa es ___ (clear),clara,claros,claro,claras
El perro es ___ (heavy),pesado,pesadas,pesada,pesados
La ciudad es ___ (salty),salada,salados,saladas,salado
La casa es ___ (safe),segura,seguro,seguros,seguras
Los coches es ___ (light),ligeros,ligeroas,ligeroa,ligero
Los amigos es ___ (kind),amables,amableas,amable,amabless
Los amigos es ___ (kind),amables,amableas,amable,amabless
Los árboles es ___ (interesting),interesantes,interesantess,interesanteas,interesante
Los coches es ___ (ancient),antiguos,antiguoa,antiguo,antiguoas
El sol es ___ (healthy),sano,sanos,sana,sanas
El sol es ___ (big),grande,grandes,grande,grande
El coche es ___ (weak),débil,débils,débil,débil
Los coches es ___ (heavy),pesados,pesadoas,pesado,pesadoa
El parque es ___ (light),ligero,ligeras,ligera,ligeros
Los gatos es ___ (safe),seguros,seguro,seguroa,seguroas
Los gatos es ___ (weak),débils,débilss,débilas,débil
La niña es ___ (sick),enferma,enfermos,enfermas,enfermo
Los gatos es ___ (clear),claros,claroa,claro,claroas
El sol es ___ (small),pequeño,pequeñas,pequeña,pequeños
La playa es ___ (sweet),dulce,dulces,dulce,dulce
El libro es ___ (heavy),pesado,pesadas,pesada,pesados
Los árboles es ___ (modern),modernos,modernoa,modernoas,moderno
La ciudad es ___ (weak),débil,débils,débil,débil
La ciudad es ___ (fast),rápida,rápido,rápidas,rápidos
Las calles es ___ (beautiful),bonitas,bonitao,bonita,bonitaos
Los amigos es ___ (sweet),dulces,dulcess,dulceas,dulce
Los coches es ___ (salty),salados,saladoa,salado,saladoas
El perro es ___ (dangerous),peligroso,peligrosa,peligrosos,peligrosas
Las montañas es ___ (sad),tristes,triste,tristeos,tristess
Los gatos es ___ (cold),fríos,frío,fríoas,fríoa
El coche es ___ (salty),salado,saladas,salada,salados
Los amigos es ___ (healthy),sanos,sanoa,sanoas,sano
La playa es ___ (big),grande,grandes,grande,grande
La luna es ___ (cold),fría,frías,frío,fríos
La niña es ___ (happy),feliz,feliz,felizs,feliz
La casa es ___ (new),nueva,nuevas,nuevo,nuevos
Los árboles es ___ (big),grandes,grandeas,grande,grandess
Las calles es ___ (interesting),interesantes,interesantess,interesanteos,interesante
El perro es ___ (hot),caliente,caliente,calientes,caliente
La mesa es ___ (kind),amable,amables,amable,amable
El parque es ___ (boring),aburrido,aburridas,aburridos,aburrida
Los coches es ___ (clear),claros,claroa,claro,claroas
El coche es ___ (small),pequeño,pequeñas,pequeña,pequeños
Las montañas es ___ (kind),amables,amable,amabless,amableos
La playa es ___ (fun),divertida,divertido,divertidas,divertidos
Los amigos es ___ (cold),fríos,frío,fríoas,fríoa
El perro es ___ (strong),fuerte,fuerte,fuertes,fuerte
Las flores es ___ (dark),oscuras,oscuraos,oscurao,oscura
La luna es ___ (safe),segura,seguro,seguros,seguras
El libro es ___ (salty),salado,saladas,salada,salados
Los árboles es ___ (bright),luminosos,luminosoa,luminoso,luminosoas
La playa es ___ (hot),caliente,caliente,calientes,caliente
El coche es ___ (strong),fuerte,fuerte,fuertes,fuerte
Las montañas es ___ (interesting),interesantes,interesantess,interesanteos,interesante
Los amigos es ___ (weak),débils,débilss,débilas,débil
El perro es ___ (bright),luminoso,luminosas,luminosos,luminosa
La niña es ___ (sad),triste,triste,tristes,triste
Las calles es ___ (light),ligeras,ligeraos,ligerao,ligera
Las montañas es ___ (fast),rápidas,rápidao,rápida,rápidaos
La playa es ___ (sick),enferma,enfermos,enfermas,enfermo
La luna es ___ (boring),aburrida,aburridas,aburrido,aburridos
La niña es ___ (big),grande,grandes,grande,grande
El edificio es ___ (big),grande,grandes,grande,grande
La niña es ___ (strong),fuerte,fuerte,fuertes,fuerte
Los gatos es ___ (beautiful),bonitos,bonito,bonitoas,bonitoa
Las flores es ___ (big),grandes,grandeos,grande,grandess
Los amigos es ___ (modern),modernos,modernoa,modernoas,moderno
El libro es ___ (kind),amable,amables,amable,amable
El edificio es ___ (hot),caliente,caliente,calientes,caliente
Las calles es ___ (interesting),interesantes,interesantess,interesanteos,interesante
El edificio es ___ (beautiful),bonito,bonita,bonitos,bonitas
Los gatos es ___ (heavy),pesados,pesadoas,pesado,pesadoa
Los coches es ___ (clear),claros,claroa,claro,claroas
Las calles es ___ (boring),aburridas,aburridaos,aburridao,aburrida
Las flores es ___ (big),grandes,grandeos,grande,grandess
Los árboles es ___ (happy),felizs,feliz,felizas,felizss
Las flores es ___ (dangerous),peligrosas,peligrosao,peligrosa,peligrosaos
La luna es ___ (sweet),dulce,dulces,dulce,dulce
El coche es ___ (healthy),sano,sanos,sana,sanas
Las montañas es ___ (dark),oscuras,oscuraos,oscurao,oscura
El parque es ___ (strong),fuerte,fuerte,fuertes,fuerte
El sol es ___ (kind),amable,amables,amable,amable
El perro es ___ (small),pequeño,pequeñas,pequeña,pequeños
El libro es ___ (boring),aburrido,aburridas,aburridos,aburrida
La playa es ___ (interesting),interesante,interesantes,interesante,interesante
La mesa es ___ (salty),salada,salados,saladas,salado
Los amigos es ___ (sick),enfermos,enfermoa,enfermoas,enfermo
La ciudad es ___ (fun),divertida,divertido,divertidas,divertidos
Los árboles es ___ (interesting),interesantes,interesantess,interesanteas,interesante
Los gatos es ___ (hot),calientes,caliente,calientess,calienteas
Las calles es ___ (weak),débils,débilos,débilss,débil
La playa es ___ (salty),salada,salados,saladas,salado
Los árboles es ___ (boring),aburridos,aburrido,aburridoas,aburridoa
