la tarea;assignment;házi feladat
la mochila;backpack;hátizsák
el libro;book;könyv
la silla;chair;szék
la tiza;chalk;kréta
la pizarra;chalkboard;tábla
el aula;classroom;osztályterem
el reloj;clock;óra
el escritorio;desk;íróasztal
el diccionario;dictionary;szótár
el borrador;eraser;törlőszivacs
la lección;lesson;lecke
las luces;lights;világítás
el mapa;map;térkép
el cuaderno;notebook;füzet
el papel;paper;papír
el bolígrafo;pen;toll
el lápiz;pencil;ceruza
la regla;ruler;vonalzó
la escuela;school;iskola
el/la estudiante;student;diák
el/la maestro/maestra;teacher;tanár/tanárnő
la pared;wall;fal