el padre;father;apa
la madre;mother;anya
los padres;parents;szülők
el papá;dad;apa
la mamá;mom;anya
el chico;boy;fiú
la chica;girl;lány
el hermano;brother;fiútestvér
la hermana;sister;lánytestvér
el hijo;son;fia
la hija;daughter;lánya
los hijos;children;gyerekek
el abuelo;grandfather;nagypapa
la abuela;grandmother;nagymama
el nieto;grandson;fiú unoka
la nieta;granddaughter;lány unoka
el tío;uncle;nagybácsi
la tía;aunt;nagynéni
el sobrino;nephew;unokaöcs
la sobrina;niece;unokahúg
el primo;cousin (m.);fiú unokatestvér
la prima;cousin (f.);lány unokatestvér
la familia;family;család