hola,szia
gracias,köszönöm
adiós,viszlát
por favor,kérem
perro,kutya
gato,macska
libro,könyv
casa,ház
comida,étel
agua,víz
amigo,barát
familia,család
escuela,iskola
ciudad,város
coche,autó
niño,gyerek
hombre,férfi
mujer,nő
mesa,asztal
silla,szék
ventana,ablak
puerta,ajtó
sol,nap
luna,hold
estrella,csillag
noche,éjszaka
día,nap
mañana,reggel
tarde,délután
nube,felhő
lluvia,eső
viento,szél
fuego,tűz
tierra,föld
mar,tenger
río,folyó
montaña,hegy
bosque,erdő
flor,virág
árbol,fa
fruta,gyümölcs
manzana,alma
plátano,banán
naranja,narancs
uva,szőlő
pera,körte
limón,citrom
melón,dinnye
fresa,eper
sandía,görögdinnye
piña,ananász
cereza,cseresznye
durazno,őszibarack
ciruela,szilva
arándano,áfonya
frambuesa,málna
mantequilla,vaj
queso,sajt
leche,tej
pan,kenyér
huevo,tojás
carne,hús
pescado,hal
pollo,csirke
cerdo,sertés
vacuno,marhahús
cordero,bárány
pato,kacsa
conejo,nyúl
arroz,rizs
pasta,tészta
sopa,leves
ensalada,saláta
verdura,zöldség
tomate,paradicsom
pepino,uborka
lechuga,fejes saláta
zanahoria,sárgarépa
cebolla,hagyma
ajo,fokhagyma
patata,krumpli
calabacín,cukkini
champiñón,gomba
maíz,kukorica
trigo,búza
arroz,rizs
cebada,árpa
vino,bor
cerveza,sör
zumo,lé
té,tea
café,kávé
azúcar,cukor
sal,só
pimienta,bors
miel,méz
chocolate,csokoládé
helado,fagylalt
pastel,torta
galleta,süti
dulce,édesség